"V1","V2"
3,0
9,0
13,0
14,0
22,0
23,0
34,0
35,0
42,0
43,0
44,0
48,0
52,0
53,0
55,0
56,0
58,0
69,0
72,0
73,0
74,0
10,1
11,1
15,1
16,1
17,1
19,1
20,1
21,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
36,1
37,1
38,1
39,1
40,1
41,1
45,1
46,1
47,1
49,1
50,1
51,1
54,1
57,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
70,1
71,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
8,4
2,5
6,5
12,6
18,6
5,7
4,8
7,10
1,16
